"";"mean";"mean";"mean";"mean";"mean";"mean";"mean";"mean";"mean";"mean";"mean";"mean";"sd";"sd";"sd";"sd";"sd";"sd";"sd";"sd";"sd";"sd";"sd";"sd";"bias";"bias";"bias";"bias";"bias";"bias";"bias";"bias";"bias";"bias";"bias";"bias";"cp";"cp";"cp";"cp";"cp";"cp";"cp";"cp";"cp";"cp";"cp";"cp"
"1";-1,13263092330832;0,818330884823701;1,00389535492837;0,698863785122422;0,508931570604568;0,986904353724131;-1,02016192570218;-0,0867542038322006;0,489210580093044;0,486438944302005;0,4713211108003;0,403578597725457;0,105572119852849;0,0957865440923293;0,149065918666579;0,197124288668353;0,106003856626564;0,0572394343183129;0,0323475309602626;0,0626907438830031;0,0520901740527965;0,0195160545498733;0,0393364885562624;0,0960435035676092;-0,132630923308322;0,018330884823701;0,00389535492836801;-0,301136214877578;0,00893157060456828;-0,013095646275869;-0,0201619257021775;0,0132457961677994;-0,0107894199069559;-0,013561055697995;0,0713211108002998;0,00357859772545649;1;1;1;1;1;1;1;1;1;1;1;1
"2";-1,14545258087613;0,825350466380552;1,0847989650125;0,763155216207815;0,501874664599969;0,964908596757408;-0,973873485949191;-0,0998430941247933;0,525467807910523;0,478637585910943;0,353085432696943;0,448737443571323;0,0962420820471617;0,101343992065034;0,169815476620621;0,327215230934059;0,110811990642299;0,0578200275797954;0,0302082463149088;0,0602811273733663;0,0537391351349535;0,019261346776708;0,0374793525444843;0,105411428659425;-0,14545258087613;0,0253504663805516;0,0847989650125041;-0,236844783792185;0,00187466459996888;-0,0350914032425919;0,0261265140508088;0,000156905875206753;0,0254678079105233;-0,0213624140890567;-0,0469145673030571;0,0487374435713226;1;1;1;1;1;1;1;1;1;1;1;1
"3";-0,891277659242731;0,855492252928186;0,788474610021484;1,39245174278016;0,385316152578149;1,0082435303037;-0,962904770096336;-0,0686067781082857;0,460674626649459;0,491849263515664;0,38697929768877;0,501779976928868;0,0833428944150558;0,10583918431481;0,163088219815116;0,272728468676307;0,115498754502207;0,0594346310260649;0,0303668244202038;0,0626513988276452;0,0549831201559753;0,0195257006244911;0,0342882388835047;0,0939903506812501;0,108722340757269;0,0554922529281864;-0,211525389978516;0,392451742780161;-0,114683847421851;0,0082435303036954;0,0370952299036637;0,0313932218917143;-0,0393253733505409;-0,00815073648433645;-0,0130207023112295;0,101779976928868;1;1;1;1;1;1;1;1;1;1;1;1
"4";-1,08227742426337;0,787600311538231;0,823649629304526;1,40136427807135;0,558276741697435;0,928282443042385;-0,980695571918577;-0,0476807659612699;0,564323814803793;0,525691663631748;0,371342717305614;0,344343898170324;0,121980054823846;0,104621331839206;0,147629397361366;0,328599396306171;0,11496912004576;0,0586759948563349;0,030034434715441;0,0622652750134254;0,0550076194557614;0,0203403995028137;0,038685204590032;0,111722134453741;-0,0822774242633746;-0,0123996884617695;-0,176350370695474;0,401364278071351;0,0582767416974355;-0,0717175569576145;0,019304428081423;0,0523192340387301;0,0643238148037928;0,0256916636317478;-0,0286572826943862;-0,0556561018296763;1;1;1;1;1;1;1;1;1;1;1;1
"5";-1,02888591361118;0,666829586752849;1,01004556921561;0,734516598643051;0,521497084993676;1,0254954148819;-1,00427156709532;-0,135706585451672;0,415688649232046;0,50077663581204;0,481132828137332;0,308994592469208;0,0926331332346504;0,0975164723519053;0,126536748130837;0,176191020836042;0,107657347766241;0,0567619358460391;0,0330591980478596;0,0636721009483177;0,0522936366973289;0,0195139531863759;0,0413639612303808;0,0924644460399829;-0,0288859136111845;-0,133170413247151;0,0100455692156125;-0,265483401356949;0,0214970849936762;0,025495414881898;-0,00427156709532417;-0,0357065854516723;-0,0843113507679542;0,00077663581204046;0,0811328281373319;-0,0910054075307922;1;1;1;1;1;1;1;1;1;1;0;1
"6";-0,788327635270467;0,673922103034369;1,03470354927829;1,13302337097983;0,514899801185815;0,960355797353285;-0,989580052747754;-0,0249736597979829;0,511051026076488;0,478200372766633;0,346735834248543;0,510963334751489;0,0804190508115639;0,102437689936856;0,158851963650076;0,287949482350664;0,112411588221869;0,0576038437202699;0,0299206742821803;0,0602474501789027;0,0531203011474299;0,0188601463009902;0,0323273656196464;0,0923395877315978;0,211672364729533;-0,126077896965631;0,0347035492782894;0,133023370979827;0,0148998011858152;-0,0396442026467154;0,0104199472522459;0,0750263402020171;0,0110510260764876;-0,0217996272333669;-0,0532641657514574;0,110963334751489;0;1;1;1;1;1;1;1;1;1;1;1
"7";-1,07837803219984;0,728621517823669;1,19474787492354;0,71897557645838;0,548301186655996;1,01516988134332;-1,0603100638422;-0,152729171143199;0,508934277244037;0,501865163948892;0,397234496815172;0,433584532621396;0,102438931299254;0,1011064682393;0,14752372651091;0,25018995063182;0,111583254264973;0,0576085339882554;0,0312983187688681;0,0631553474945388;0,0531256347496137;0,0197200201278721;0,0394259609644953;0,0981952500054527;-0,0783780321998442;-0,0713784821763312;0,194747874923537;-0,28102442354162;0,0483011866559965;0,0151698813433241;-0,0603100638422001;-0,0527291711431991;0,00893427724403673;0,00186516394889213;-0,00276550318482816;0,0335845326213962;1;1;1;1;1;1;1;1;1;1;1;1
"8";-0,914497262154008;0,886482365806385;0,864344103942111;1,17617466753737;0,356405227234248;1,00827616266614;-0,982081244751264;-0,073669708664481;0,447688077416175;0,479623696186292;0,368361506858304;0,4079518051657;0,1056918653354;0,0940456264375656;0,153714392295234;0,284262364955662;0,104684496081394;0,0528623910588696;0,0307442603109974;0,0616183204674542;0,0499418509143391;0,0192289923168595;0,0359146597107928;0,0979627762150069;0,0855027378459916;0,0864823658063845;-0,135655896057889;0,176174667537372;-0,143594772765752;0,00827616266614117;0,0179187552487355;0,026330291335519;-0,0523119225838253;-0,0203763038137085;-0,0316384931416957;0,00795180516570004;1;1;1;1;1;1;1;1;1;1;1;1
"9";-1,0702346649746;0,82963724321537;1,62120877909707;0,0857417543417635;0,538003435023623;1,08344552911835;-1,02870969731135;-0,0340311495859988;0,386928125465681;0,480718133026249;0,399188610980904;0,433565363841743;0,0967751408216685;0,100152592547259;0,189203732573231;0,269447036411538;0,111044810814964;0,0547497091584349;0,0309413059754369;0,0578657393398476;0,0504968524906335;0,0188243127026306;0,0391872100245678;0,0980983704021045;-0,0702346649745984;0,0296372432153704;0,621208779097072;-0,914258245658236;0,038003435023623;0,0834455291183493;-0,0287096973113459;0,0659688504140012;-0,113071874534319;-0,0192818669737512;-0,000811389019096276;0,033565363841743;1;1;0;0;1;1;1;1;0;1;1;1
"10";-0,774491920675465;0,603956740709705;0,93821730088673;0,964351244775017;0,703571669783733;0,923641416968244;-0,99074089992729;0,0469638252337796;0,525408663851537;0,509452154155367;0,363442906657287;0,415889466731113;0,101677574267555;0,0976081188042813;0,144585070985631;0,316438766952168;0,107679564442006;0,0565225745535614;0,0300432542448351;0,0619504726832086;0,0527167143558971;0,0190033533218968;0,0353310965478379;0,0981217655419443;0,225508079324535;-0,196043259290295;-0,0617826991132704;-0,0356487552249827;0,203571669783733;-0,0763585830317558;0,00925910007271025;0,14696382523378;0,0254086638515365;0,00945215415536693;-0,0365570933427131;0,0158894667311126;0;0;1;1;1;1;1;0;1;1;1;1
