"";"alpha";"gamma0";"gamma1";"gamma2";"gamma3";"beta0";"beta1";"beta2";"beta3";"sd.int";"sd.slo";"rho"
"Mean";-1,01134332400631;0,79374756087596;1,03617916120191;0,89417780151409;0,505467405556736;0,997565395741507;-1,00083180223205;-0,0954566446513213;0,499676952838185;0,495570653318956;0,395651645090594;0,398316129442919
"SD";0,147753520350675;0,140042043874016;0,210050997041018;0,358942903888458;0,154726199742974;0,0803542033381287;0,0437006270426242;0,0874835579655651;0,073705398630331;0,0271387805110935;0,0486615865948545;0,12521998607992
"Bias";-0,0113433240063084;-0,00625243912403978;0,0361791612019104;-0,10582219848591;0,00546740555673604;-0,00243460425849306;-0,000831802232044996;0,00454335534867867;-0,000323047161814561;-0,00442934668104408;-0,00434835490940635;-0,00168387055708125
"C.P (95%)";0,963;0,935;0,965;0,948;0,951;0,948;0,926;0,937;0,956;0,949;0,982;0,972
