"";"x"
"1";0,22
"2";0,21
"3";0,33
"4";0,21
"5";0,25
"6";0,2
"7";0,26
"8";0,23
"9";0,23
"10";0,23
"11";0,15
"12";0,19
"13";0,18
"14";0,18
"15";0,14
"16";0,16
"17";0,24
"18";0,18
"19";0,19
"20";0,24
"21";0,26
"22";0,31
"23";0,21
"24";0,26
"25";0,15
"26";0,24
"27";0,15
"28";0,3
"29";0,15
"30";0,19
"31";0,26
"32";0,22
"33";0,18
"34";0,21
"35";0,2
"36";0,22
"37";0,2
"38";0,16
"39";0,24
"40";0,14
"41";0,25
"42";0,2
"43";0,28
"44";0,19
"45";0,14
"46";0,19
"47";0,2
"48";0,23
"49";0,21
"50";0,23
"51";0,28
"52";0,31
"53";0,2
"54";0,28
"55";0,2
"56";0,19
"57";0,27
"58";0,2
"59";0,15
"60";0,18
"61";0,17
"62";0,19
"63";0,23
"64";0,23
"65";0,19
"66";0,3
"67";0,17
"68";0,23
"69";0,26
"70";0,29
"71";0,29
"72";0,17
"73";0,2
"74";0,18
"75";0,31
"76";0,18
"77";0,22
"78";0,29
"79";0,11
"80";0,19
"81";0,17
"82";0,18
"83";0,25
"84";0,27
"85";0,22
"86";0,17
"87";0,28
"88";0,21
"89";0,33
"90";0,18
"91";0,23
"92";0,25
"93";0,21
"94";0,23
"95";0,22
"96";0,23
"97";0,21
"98";0,2
"99";0,3
"100";0,16
"101";0,26
"102";0,21
"103";0,13
"104";0,15
"105";0,19
"106";0,24
"107";0,18
"108";0,16
"109";0,2
"110";0,2
"111";0,22
"112";0,15
"113";0,29
"114";0,21
"115";0,12
"116";0,23
"117";0,17
"118";0,15
"119";0,13
"120";0,23
"121";0,21
"122";0,15
"123";0,13
"124";0,22
"125";0,21
"126";0,2
"127";0,19
"128";0,22
"129";0,22
"130";0,23
"131";0,19
"132";0,2
"133";0,24
"134";0,2
"135";0,21
"136";0,14
"137";0,19
"138";0,21
"139";0,23
"140";0,19
"141";0,31
"142";0,16
"143";0,16
"144";0,25
"145";0,33
"146";0,24
"147";0,23
"148";0,2
"149";0,19
"150";0,16
"151";0,14
"152";0,32
"153";0,2
"154";0,19
"155";0,19
"156";0,29
"157";0,19
"158";0,23
"159";0,16
"160";0,15
"161";0,2
"162";0,14
"163";0,17
"164";0,23
"165";0,14
"166";0,23
"167";0,16
"168";0,26
"169";0,17
"170";0,23
"171";0,2
"172";0,23
"173";0,24
"174";0,17
"175";0,12
"176";0,23
"177";0,22
"178";0,22
"179";0,22
"180";0,16
"181";0,19
"182";0,24
"183";0,25
"184";0,21
"185";0,17
"186";0,26
"187";0,16
"188";0,21
"189";0,2
"190";0,2
"191";0,18
"192";0,3
"193";0,17
"194";0,14
"195";0,25
"196";0,16
"197";0,3
"198";0,23
"199";0,17
"200";0,26
"201";0,23
"202";0,18
"203";0,22
"204";0,13
"205";0,16
"206";0,2
"207";0,16
"208";0,28
"209";0,18
"210";0,24
"211";0,19
"212";0,16
"213";0,17
"214";0,22
"215";0,16
"216";0,17
"217";0,19
"218";0,23
"219";0,21
"220";0,26
"221";0,26
"222";0,26
"223";0,25
"224";0,28
"225";0,22
"226";0,13
"227";0,25
"228";0,32
"229";0,17
"230";0,23
"231";0,37
