"";"alpha";"gamma0";"gamma1";"gamma2";"gamma3";"beta0";"beta1";"beta2";"beta3";"sd.int";"sd.slo";"rho"
"Mean";-1,01154416806617;0,796998758018886;1,02412191305604;0,931443946287773;0,5055634313995;0,998367483419871;-0,99996905898298;-0,100736952094446;0,50118393183701;0,495816842496617;0,394997097512606;0,406901153485961
"SD";0,0988087077599106;0,098439654819144;0,15231635399808;0,26870183864506;0,108826137812139;0,0568808988785549;0,0308823785353805;0,0618082450933442;0,0521815099934974;0,0193132601655408;0,0378865685058839;0,0980328934082908
"Bias";-0,0115441680661679;-0,00300124198111429;0,0241219130560379;-0,068556053712227;0,00556343139950025;-0,0016325165801286;3,09410170201992e-05;-0,000736952094445823;0,00118393183700977;-0,00418315750338323;-0,00500290248739447;0,00690115348596129
"C.P (95%)";0,948;0,927;0,964;0,965;0,939;0,958;0,912;0,945;0,956;0,955;0,973;0,972
