"";"x"
"1";0,172
"2";0,196
"3";0,158
"4";0,222
"5";0,168
"6";0,18
"7";0,17
"8";0,168
"9";0,182
"10";0,152
"11";0,196
"12";0,172
"13";0,172
"14";0,154
"15";0,216
"16";0,194
"17";0,164
"18";0,098
"19";0,18
"20";0,132
"21";0,186
"22";0,15
"23";0,14
"24";0,17
"25";0,148
"26";0,17
"27";0,148
"28";0,2
"29";0,158
"30";0,154
"31";0,138
"32";0,18
"33";0,208
"34";0,19
"35";0,172
"36";0,16
"37";0,162
"38";0,168
"39";0,158
"40";0,17
"41";0,17
"42";0,172
"43";0,182
"44";0,224
"45";0,194
"46";0,202
"47";0,16
"48";0,172
"49";0,19
"50";0,186
"51";0,174
"52";0,176
"53";0,19
"54";0,168
"55";0,166
"56";0,19
"57";0,194
"58";0,142
"59";0,23
"60";0,21
"61";0,116
"62";0,204
"63";0,1
"64";0,172
"65";0,2
"66";0,196
"67";0,136
"68";0,168
"69";0,166
"70";0,192
"71";0,14
"72";0,256
"73";0,136
"74";0,2
"75";0,164
"76";0,176
"77";0,2
"78";0,124
"79";0,162
"80";0,156
"81";0,188
"82";0,17
"83";0,2
"84";0,166
"85";0,182
"86";0,138
"87";0,142
"88";0,18
"89";0,18
"90";0,14
"91";0,158
"92";0,186
"93";0,214
"94";0,178
"95";0,166
"96";0,152
"97";0,172
"98";0,19
"99";0,146
"100";0,15
"101";0,192
"102";0,184
"103";0,16
"104";0,182
"105";0,196
"106";0,142
"107";0,212
"108";0,17
"109";0,242
"110";0,174
"111";0,152
"112";0,148
"113";0,186
"114";0,192
"115";0,172
"116";0,146
"117";0,172
"118";0,176
"119";0,156
"120";0,172
"121";0,172
"122";0,18
"123";0,182
"124";0,16
"125";0,202
"126";0,162
"127";0,118
"128";0,182
"129";0,168
"130";0,164
"131";0,192
"132";0,162
"133";0,184
"134";0,18
"135";0,132
"136";0,158
"137";0,148
"138";0,158
"139";0,162
"140";0,198
"141";0,166
"142";0,202
"143";0,182
"144";0,144
"145";0,142
"146";0,15
"147";0,166
"148";0,16
"149";0,158
"150";0,15
"151";0,158
"152";0,136
"153";0,176
"154";0,168
"155";0,178
"156";0,184
"157";0,164
"158";0,148
"159";0,176
"160";0,198
"161";0,168
"162";0,154
"163";0,186
"164";0,222
"165";0,108
"166";0,168
"167";0,164
"168";0,168
"169";0,19
"170";0,19
"171";0,144
"172";0,154
"173";0,17
"174";0,192
"175";0,176
"176";0,152
"177";0,168
"178";0,17
"179";0,118
"180";0,174
"181";0,178
"182";0,172
"183";0,156
"184";0,186
"185";0,16
"186";0,206
"187";0,132
"188";0,188
"189";0,19
"190";0,192
"191";0,146
"192";0,208
"193";0,138
"194";0,16
"195";0,17
"196";0,174
"197";0,172
"198";0,176
"199";0,25
"200";0,18
"201";0,148
"202";0,158
"203";0,188
"204";0,17
"205";0,178
"206";0,172
"207";0,196
"208";0,204
"209";0,158
"210";0,198
"211";0,156
"212";0,19
"213";0,182
"214";0,17
"215";0,158
"216";0,166
"217";0,152
"218";0,16
"219";0,162
"220";0,178
"221";0,164
"222";0,162
"223";0,156
"224";0,17
"225";0,144
"226";0,198
"227";0,168
"228";0,184
"229";0,142
"230";0,174
"231";0,172
"232";0,176
"233";0,154
"234";0,146
"235";0,15
"236";0,144
"237";0,192
"238";0,152
"239";0,164
"240";0,156
"241";0,178
"242";0,172
"243";0,164
"244";0,158
"245";0,17
"246";0,156
"247";0,178
"248";0,15
"249";0,172
"250";0,138
"251";0,152
"252";0,186
"253";0,16
"254";0,18
"255";0,194
"256";0,18
"257";0,16
"258";0,144
"259";0,124
"260";0,22
"261";0,154
"262";0,188
"263";0,178
"264";0,204
"265";0,178
"266";0,162
"267";0,152
"268";0,198
"269";0,18
"270";0,144
"271";0,166
"272";0,17
"273";0,176
"274";0,172
"275";0,184
"276";0,156
"277";0,208
"278";0,16
"279";0,172
"280";0,194
"281";0,164
"282";0,172
"283";0,18
"284";0,188
"285";0,166
"286";0,184
"287";0,16
"288";0,2
"289";0,164
"290";0,208
"291";0,17
"292";0,18
"293";0,174
"294";0,182
"295";0,202
"296";0,154
"297";0,156
"298";0,16
"299";0,176
"300";0,196
"301";0,166
"302";0,16
"303";0,198
"304";0,182
"305";0,162
"306";0,22
"307";0,196
