"";"x"
"1";0,622
"2";0,633
"3";0,617
"4";0,643
"5";0,623
"6";0,653
"7";0,629
"8";0,607
"9";0,618
"10";0,607
"11";0,611
"12";0,642
"13";0,632
"14";0,622
"15";0,597
"16";0,627
"17";0,648
"18";0,627
"19";0,612
"20";0,597
"21";0,633
"22";0,624
"23";0,62
"24";0,595
"25";0,666
"26";0,604
"27";0,636
"28";0,618
"29";0,675
"30";0,614
"31";0,633
"32";0,625
"33";0,632
"34";0,631
"35";0,579
"36";0,609
"37";0,636
"38";0,637
"39";0,618
"40";0,647
"41";0,599
"42";0,634
"43";0,651
"44";0,626
"45";0,63
"46";0,612
"47";0,61
"48";0,654
"49";0,623
"50";0,629
"51";0,639
"52";0,604
"53";0,677
"54";0,618
"55";0,651
"56";0,644
"57";0,607
"58";0,595
"59";0,585
"60";0,603
"61";0,618
"62";0,616
"63";0,619
"64";0,609
"65";0,606
"66";0,573
"67";0,605
"68";0,631
"69";0,612
"70";0,629
"71";0,621
"72";0,636
"73";0,617
"74";0,597
"75";0,619
"76";0,621
"77";0,659
"78";0,643
"79";0,627
"80";0,618
"81";0,605
"82";0,629
"83";0,625
"84";0,618
"85";0,626
"86";0,613
"87";0,625
"88";0,62
"89";0,629
"90";0,645
"91";0,645
"92";0,606
"93";0,659
"94";0,62
"95";0,645
"96";0,613
"97";0,645
"98";0,619
"99";0,607
"100";0,609
"101";0,602
"102";0,614
"103";0,65
"104";0,634
"105";0,571
"106";0,638
"107";0,647
"108";0,65
"109";0,603
"110";0,599
"111";0,623
"112";0,597
"113";0,618
"114";0,643
"115";0,639
"116";0,619
"117";0,639
"118";0,622
"119";0,594
"120";0,607
"121";0,619
"122";0,588
"123";0,619
"124";0,619
"125";0,618
"126";0,639
"127";0,636
"128";0,626
"129";0,611
"130";0,585
"131";0,63
"132";0,614
"133";0,631
"134";0,657
"135";0,626
"136";0,624
"137";0,583
"138";0,582
"139";0,605
"140";0,638
"141";0,63
"142";0,603
"143";0,616
"144";0,628
"145";0,595
"146";0,595
"147";0,624
"148";0,584
"149";0,621
"150";0,629
"151";0,615
"152";0,64
"153";0,62
"154";0,627
"155";0,606
"156";0,643
"157";0,631
"158";0,631
"159";0,6
"160";0,636
"161";0,617
"162";0,634
"163";0,615
"164";0,599
"165";0,617
"166";0,601
"167";0,567
"168";0,628
"169";0,651
"170";0,637
"171";0,627
"172";0,604
"173";0,661
"174";0,636
"175";0,661
"176";0,606
"177";0,613
"178";0,649
"179";0,592
"180";0,608
"181";0,619
"182";0,609
"183";0,608
"184";0,644
"185";0,625
"186";0,607
"187";0,601
"188";0,631
"189";0,594
"190";0,634
"191";0,634
"192";0,614
"193";0,607
"194";0,652
"195";0,617
"196";0,626
"197";0,598
"198";0,616
"199";0,598
"200";0,612
"201";0,594
"202";0,585
"203";0,613
"204";0,626
"205";0,598
"206";0,627
"207";0,617
"208";0,625
"209";0,6
"210";0,607
"211";0,603
"212";0,67
"213";0,626
"214";0,622
"215";0,619
"216";0,614
"217";0,647
"218";0,633
"219";0,634
"220";0,614
"221";0,61
"222";0,621
"223";0,599
"224";0,632
"225";0,654
"226";0,639
"227";0,629
"228";0,619
"229";0,629
"230";0,601
"231";0,646
"232";0,603
"233";0,636
"234";0,606
"235";0,633
"236";0,618
"237";0,634
"238";0,638
"239";0,649
"240";0,606
"241";0,594
"242";0,65
"243";0,65
"244";0,589
"245";0,646
"246";0,613
"247";0,583
"248";0,62
"249";0,651
"250";0,638
"251";0,643
"252";0,641
"253";0,644
"254";0,612
"255";0,653
"256";0,619
"257";0,613
"258";0,614
"259";0,626
"260";0,646
"261";0,622
"262";0,628
"263";0,607
"264";0,631
"265";0,612
"266";0,621
"267";0,625
"268";0,64
"269";0,623
"270";0,641
"271";0,638
"272";0,624
"273";0,643
"274";0,637
"275";0,606
"276";0,625
"277";0,632
"278";0,612
"279";0,646
"280";0,627
"281";0,623
"282";0,617
"283";0,622
"284";0,639
"285";0,635
"286";0,602
"287";0,624
"288";0,596
"289";0,598
"290";0,636
"291";0,563
"292";0,611
"293";0,619
"294";0,636
"295";0,611
"296";0,63
"297";0,628
"298";0,63
"299";0,612
"300";0,626
