"";"x"
"1";0,644
"2";0,626
"3";0,636
"4";0,616
"5";0,622
"6";0,604
"7";0,612
"8";0,648
"9";0,618
"10";0,598
"11";0,64
"12";0,658
"13";0,616
"14";0,598
"15";0,588
"16";0,618
"17";0,656
"18";0,642
"19";0,652
"20";0,66
"21";0,652
"22";0,642
"23";0,682
"24";0,602
"25";0,604
"26";0,646
"27";0,66
"28";0,634
"29";0,65
"30";0,664
"31";0,692
"32";0,626
"33";0,632
"34";0,618
"35";0,594
"36";0,682
"37";0,62
"38";0,602
"39";0,634
"40";0,666
"41";0,654
"42";0,612
"43";0,634
"44";0,604
"45";0,642
"46";0,618
"47";0,618
"48";0,62
"49";0,668
"50";0,606
"51";0,612
"52";0,62
"53";0,604
"54";0,654
"55";0,648
"56";0,624
"57";0,634
"58";0,67
"59";0,596
"60";0,668
"61";0,592
"62";0,632
"63";0,602
"64";0,586
"65";0,64
"66";0,588
"67";0,618
"68";0,618
"69";0,634
"70";0,66
"71";0,628
"72";0,6
"73";0,606
"74";0,644
"75";0,636
"76";0,662
"77";0,596
"78";0,608
"79";0,618
"80";0,628
"81";0,652
"82";0,632
"83";0,608
"84";0,64
"85";0,596
"86";0,604
"87";0,576
"88";0,644
"89";0,646
"90";0,646
"91";0,644
"92";0,612
"93";0,652
"94";0,656
"95";0,652
"96";0,606
"97";0,67
"98";0,628
"99";0,624
"100";0,642
"101";0,622
"102";0,668
"103";0,598
"104";0,632
"105";0,622
"106";0,644
"107";0,6
"108";0,608
"109";0,648
"110";0,658
"111";0,618
"112";0,608
"113";0,674
"114";0,618
"115";0,676
"116";0,64
"117";0,614
"118";0,642
"119";0,62
"120";0,618
"121";0,634
"122";0,604
"123";0,626
"124";0,654
"125";0,674
"126";0,554
"127";0,616
"128";0,6
"129";0,606
"130";0,64
"131";0,604
"132";0,622
"133";0,614
"134";0,622
"135";0,668
"136";0,668
"137";0,632
"138";0,636
"139";0,636
"140";0,646
"141";0,592
"142";0,62
"143";0,626
"144";0,61
"145";0,638
"146";0,614
"147";0,598
"148";0,7
"149";0,658
"150";0,622
"151";0,612
"152";0,592
"153";0,646
"154";0,616
"155";0,648
"156";0,642
"157";0,668
"158";0,64
"159";0,664
"160";0,652
"161";0,628
"162";0,638
"163";0,604
"164";0,654
"165";0,61
"166";0,614
"167";0,588
"168";0,666
"169";0,624
"170";0,634
"171";0,608
"172";0,662
"173";0,676
"174";0,608
"175";0,604
"176";0,698
"177";0,58
"178";0,66
"179";0,618
"180";0,64
"181";0,646
"182";0,594
"183";0,644
"184";0,602
"185";0,682
"186";0,626
"187";0,624
"188";0,642
"189";0,638
"190";0,696
"191";0,636
"192";0,64
"193";0,666
"194";0,61
"195";0,674
"196";0,616
"197";0,676
"198";0,646
"199";0,62
"200";0,642
"201";0,646
"202";0,616
"203";0,662
"204";0,61
"205";0,618
"206";0,582
"207";0,668
"208";0,626
"209";0,66
"210";0,622
"211";0,598
"212";0,67
"213";0,686
"214";0,592
"215";0,632
"216";0,65
"217";0,584
"218";0,614
"219";0,604
"220";0,66
"221";0,59
"222";0,6
"223";0,638
"224";0,608
"225";0,652
"226";0,652
"227";0,644
"228";0,61
"229";0,658
"230";0,638
"231";0,602
"232";0,586
"233";0,696
"234";0,616
"235";0,606
"236";0,624
"237";0,6
"238";0,634
"239";0,594
"240";0,59
"241";0,616
"242";0,628
"243";0,626
"244";0,626
"245";0,63
"246";0,652
"247";0,646
"248";0,658
"249";0,61
"250";0,652
"251";0,604
"252";0,64
"253";0,656
"254";0,668
"255";0,642
"256";0,628
"257";0,598
"258";0,648
"259";0,624
"260";0,624
"261";0,618
"262";0,66
"263";0,612
"264";0,61
"265";0,578
"266";0,684
"267";0,616
"268";0,65
"269";0,608
"270";0,63
"271";0,658
"272";0,66
"273";0,616
"274";0,598
"275";0,65
"276";0,634
"277";0,612
"278";0,61
"279";0,658
"280";0,656
"281";0,644
"282";0,634
"283";0,65
"284";0,582
"285";0,672
"286";0,628
"287";0,656
"288";0,618
"289";0,652
"290";0,632
"291";0,604
"292";0,648
"293";0,672
"294";0,618
"295";0,628
"296";0,62
"297";0,628
"298";0,664
"299";0,612
"300";0,63
"301";0,62
"302";0,674
"303";0,632
"304";0,612
"305";0,67
"306";0,622
"307";0,648
"308";0,642
"309";0,634
"310";0,614
"311";0,652
"312";0,618
"313";0,616
"314";0,628
"315";0,618
"316";0,608
"317";0,618
"318";0,59
"319";0,582
"320";0,638
"321";0,586
"322";0,63
"323";0,62
"324";0,644
"325";0,598
"326";0,614
"327";0,668
"328";0,616
"329";0,628
"330";0,646
"331";0,652
"332";0,65
"333";0,65
"334";0,602
"335";0,596
"336";0,686
"337";0,638
"338";0,632
"339";0,652
"340";0,566
"341";0,624
"342";0,61
"343";0,622
"344";0,664
"345";0,642
"346";0,63
"347";0,634
"348";0,584
"349";0,65
"350";0,616
"351";0,618
"352";0,636
"353";0,662
"354";0,618
"355";0,624
"356";0,62
"357";0,65
"358";0,604
"359";0,638
"360";0,61
"361";0,666
"362";0,62
"363";0,638
"364";0,61
"365";0,656
"366";0,63
"367";0,638
"368";0,644
"369";0,636
"370";0,564
"371";0,636
"372";0,636
"373";0,634
"374";0,612
"375";0,636
"376";0,648
"377";0,658
"378";0,638
"379";0,586
"380";0,628
"381";0,65
"382";0,632
"383";0,61
"384";0,67
"385";0,652
"386";0,628
"387";0,664
"388";0,67
"389";0,662
"390";0,654
"391";0,598
"392";0,626
"393";0,636
"394";0,638
"395";0,586
"396";0,666
"397";0,652
"398";0,614
"399";0,632
"400";0,59
"401";0,59
"402";0,582
"403";0,586
"404";0,598
"405";0,676
"406";0,66
"407";0,624
"408";0,632
"409";0,62
"410";0,592
"411";0,628
"412";0,624
"413";0,648
"414";0,612
"415";0,612
"416";0,656
"417";0,652
"418";0,638
"419";0,648
"420";0,592
"421";0,61
"422";0,63
"423";0,622
"424";0,654
"425";0,658
"426";0,638
"427";0,61
"428";0,636
"429";0,622
"430";0,634
"431";0,612
"432";0,608
"433";0,618
"434";0,65
"435";0,65
"436";0,648
"437";0,66
"438";0,6
"439";0,634
"440";0,606
"441";0,648
"442";0,604
"443";0,63
"444";0,656
"445";0,664
"446";0,636
"447";0,662
"448";0,628
"449";0,622
"450";0,638
"451";0,682
"452";0,642
"453";0,63
"454";0,7
"455";0,632
"456";0,642
"457";0,624
"458";0,654
"459";0,626
"460";0,578
"461";0,628
"462";0,62
"463";0,582
"464";0,6
"465";0,624
"466";0,612
"467";0,61
"468";0,63
"469";0,658
"470";0,628
"471";0,618
"472";0,646
"473";0,61
"474";0,638
"475";0,616
"476";0,626
"477";0,664
"478";0,598
"479";0,646
"480";0,622
"481";0,628
"482";0,628
"483";0,656
"484";0,642
"485";0,616
"486";0,592
"487";0,604
"488";0,6
"489";0,648
"490";0,632
"491";0,634
"492";0,63
"493";0,626
"494";0,608
"495";0,598
"496";0,658
"497";0,638
"498";0,626
"499";0,61
"500";0,636
"501";0,638
"502";0,62
"503";0,676
"504";0,634
"505";0,658
"506";0,596
"507";0,614
"508";0,608
"509";0,666
"510";0,622
"511";0,628
"512";0,616
"513";0,642
"514";0,668
"515";0,62
"516";0,646
"517";0,602
"518";0,688
"519";0,614
"520";0,61
"521";0,622
"522";0,644
"523";0,628
"524";0,658
"525";0,596
"526";0,656
"527";0,578
"528";0,634
"529";0,638
"530";0,652
"531";0,612
"532";0,65
"533";0,626
"534";0,652
"535";0,668
"536";0,624
"537";0,6
"538";0,642
"539";0,65
"540";0,614
"541";0,596
"542";0,662
"543";0,646
"544";0,602
"545";0,654
"546";0,578
"547";0,602
"548";0,618
"549";0,652
"550";0,638
"551";0,668
"552";0,614
"553";0,606
"554";0,682
"555";0,65
"556";0,608
"557";0,612
"558";0,632
"559";0,612
"560";0,638
"561";0,62
"562";0,672
"563";0,598
"564";0,656
"565";0,592
"566";0,63
"567";0,636
"568";0,62
"569";0,608
"570";0,646
"571";0,612
"572";0,634
"573";0,68
"574";0,638
"575";0,636
"576";0,602
"577";0,628
"578";0,604
"579";0,614
"580";0,65
"581";0,626
"582";0,666
"583";0,652
"584";0,6
"585";0,626
"586";0,602
"587";0,612
"588";0,656
"589";0,646
"590";0,654
"591";0,654
"592";0,662
"593";0,602
"594";0,642
"595";0,614
"596";0,646
"597";0,626
"598";0,624
"599";0,59
"600";0,664
"601";0,626
"602";0,642
"603";0,6
"604";0,64
"605";0,626
"606";0,648
"607";0,654
"608";0,614
"609";0,656
"610";0,632
"611";0,6
"612";0,62
"613";0,672
"614";0,616
"615";0,664
"616";0,608
"617";0,656
"618";0,636
"619";0,588
"620";0,592
"621";0,616
"622";0,628
"623";0,646
"624";0,628
"625";0,63
"626";0,628
"627";0,632
"628";0,592
"629";0,644
"630";0,608
"631";0,66
"632";0,544
"633";0,628
"634";0,66
"635";0,668
"636";0,622
